iter	Passed	Remaining
404	11238	16593
405	11242	16529
406	11245	16465
407	11250	16405
408	11254	16341
409	11257	16279
410	11260	16216
411	11263	16153
412	11266	16091
413	11269	16028
414	11274	15969
415	11277	15908
416	11280	15847
417	11284	15786
418	11287	15726
419	11291	15668
420	11295	15608
421	11298	15548
422	11300	15488
423	11303	15428
424	11308	15371
425	11311	15312
426	11315	15255
427	11318	15197
428	11321	15139
429	11325	15082
430	11327	15024
431	11332	14968
432	11336	14913
433	11339	14856
434	11342	14800
435	11346	14745
436	11350	14690
437	11355	14636
438	11359	14583
439	11365	14531
440	11370	14478
441	11373	14423
442	11376	14368
443	11380	14315
444	11384	14262
445	11389	14211
446	11394	14159
447	11397	14106
448	11402	14055
449	11405	14002
450	11408	13949
451	11410	13895
452	11415	13845
453	11421	13796
454	11427	13748
455	11434	13701
456	11437	13649
457	11441	13599
458	11444	13548
459	11447	13497
460	11452	13448
461	11455	13398
462	11461	13350
463	11466	13302
464	11469	13253
465	11474	13205
466	11478	13157
467	11481	13107
468	11483	13057
469	11486	13007
470	11489	12959
471	11491	12909
472	11494	12861
473	11498	12813
474	11500	12764
475	11505	12718
476	11509	12672
477	11511	12624
478	11515	12577
479	11518	12530
480	11522	12484
481	11524	12437
482	11528	12391
483	11531	12345
484	11535	12300
485	11538	12253
486	11541	12208
487	11543	12161
488	11547	12116
489	11549	12070
490	11553	12025
491	11556	11981
492	11559	11936
493	11562	11891
494	11566	11847
495	11569	11804
496	11574	11761
497	11578	11718
498	11582	11675
499	11586	11632
500	11590	11590
501	11594	11547
502	11598	11505
503	11602	11464
504	11607	11423
505	11610	11379
506	11613	11337
507	11616	11295
508	11620	11253
509	11623	11211
510	11627	11170
511	11629	11128
512	11633	11087
513	11636	11045
514	11639	11004
515	11643	10964
516	11646	10923
517	11649	10881
518	11653	10841
519	11657	10802
520	11659	10761
521	11663	10721
522	11667	10682
523	11671	10642
524	11675	10604
525	11678	10564
526	11680	10523
527	11684	10484
528	11687	10445
529	11689	10405
530	11692	10366
531	11695	10327
532	11698	10288
533	11701	10250
534	11704	10211
535	11706	10172
536	11709	10133
