iter	Passed	Remaining
418	4225	5859
419	4240	5855
420	4243	5835
421	4246	5815
422	4276	5833
423	4283	5818
424	4294	5810
425	4301	5795
426	4306	5778
427	4309	5758
428	4311	5739
429	4348	5764
430	4356	5750
431	4359	5732
432	4362	5712
433	4365	5693
434	4406	5722
435	4412	5707
436	4429	5707
437	4454	5715
438	4458	5697
439	4461	5678
440	4464	5659
441	4477	5652
442	4506	5665
443	4519	5659
444	4522	5640
445	4536	5635
446	4539	5616
447	4542	5596
448	4556	5591
449	4559	5572
450	4562	5553
451	4611	5590
452	4614	5571
453	4637	5577
454	4640	5558
455	4643	5539
456	4646	5520
457	4661	5516
458	4668	5503
459	4671	5484
460	4674	5465
461	4688	5460
462	4691	5441
463	4702	5432
464	4713	5423
465	4716	5404
466	4719	5385
467	4722	5368
468	4725	5349
469	4727	5331
470	4730	5313
471	4733	5294
472	4736	5276
473	4738	5258
474	4741	5240
475	4744	5222
476	4746	5204
477	4749	5186
478	4752	5169
479	4755	5151
480	4757	5133
481	4760	5116
482	4763	5098
483	4765	5080
484	4768	5063
485	4771	5046
486	4774	5029
487	4777	5011
488	4779	4994
489	4782	4977
490	4785	4960
491	4788	4943
492	4791	4927
493	4794	4910
494	4797	4894
495	4800	4877
496	4803	4861
497	4806	4845
498	4810	4829
499	4812	4812
500	4815	4796
501	4818	4779
502	4820	4763
503	4823	4746
504	4825	4730
505	4828	4714
506	4831	4698
507	4834	4681
508	4836	4665
509	4839	4649
510	4842	4633
511	4844	4617
512	4847	4602
513	4850	4586
514	4854	4571
515	4857	4556
516	4860	4540
517	4863	4525
518	4866	4509
519	4868	4494
520	4870	4478
521	4873	4462
522	4877	4448
523	4885	4437
524	4890	4424
525	4896	4412
526	4900	4398
527	4903	4383
528	4905	4367
529	4909	4353
530	4913	4339
531	4917	4325
532	4921	4311
533	4926	4298
534	4930	4285
535	4934	4271
536	4937	4257
537	4940	4242
538	4943	4228
539	4946	4213
540	4948	4198
541	4951	4184
542	4954	4169
543	4957	4155
544	4959	4140
545	4962	4126
546	4964	4111
547	4967	4097
548	4970	4083
549	4973	4068
550	4975	4054
551	4978	4040
552	4981	4026
553	4984	4012
554	4986	3998
555	4990	3985
556	4993	3971
557	4996	3957
558	4999	3944
559	5002	3930
560	5004	3916
561	5007	3902
562	5010	3889
563	5013	3875
564	5016	3862
565	5018	3848
566	5021	3834
567	5024	3821
568	5027	3808
569	5030	3794
570	5032	3781
571	5035	3768
572	5038	3754
573	5041	3741
574	5043	3728
575	5046	3714
576	5049	3701
577	5051	3688
578	5054	3675
579	5056	3661
580	5059	3648
581	5063	3636
582	5066	3623
583	5069	3611
584	5072	3598
585	5075	3585
586	5078	3572
587	5081	3560
588	5084	3547
589	5086	3534
590	5097	3527
591	5104	3518
592	5107	3505
593	5109	3492
594	5111	3479
595	5115	3467
596	5121	3457
597	5136	3452
598	5144	3443
599	5147	3431
600	5149	3418
601	5151	3406
602	5154	3393
603	5156	3380
604	5159	3368
605	5173	3363
606	5180	3354
607	5183	3342
608	5186	3329
609	5188	3317
610	5190	3304
611	5193	3292
612	5195	3280
613	5198	3267
614	5285	3309
615	5288	3296
616	5290	3284
617	5293	3271
618	5295	3259
619	5297	3246
620	5308	3239
621	5316	3231
622	5319	3218
623	5321	3206
624	5323	3194
625	5327	3182
