iter	Passed	Remaining
0	9	9311
1	18	9232
2	26	8698
3	33	8283
4	40	8131
5	47	7808
6	54	7699
7	70	8762
8	87	9590
9	98	9718
10	117	10540
11	123	10170
12	132	10087
13	139	9825
14	146	9609
15	151	9344
16	158	9141
17	163	8907
18	167	8665
19	174	8529
20	180	8425
21	186	8294
22	192	8192
23	197	8033
24	203	7927
25	209	7840
26	215	7750
27	220	7640
28	226	7592
29	230	7438
30	236	7377
31	242	7328
32	247	7264
33	252	7185
34	259	7163
35	264	7089
36	270	7033
37	275	6979
38	281	6932
39	289	6949
40	302	7074
41	313	7143
42	540	12021
43	793	17246
44	1135	24107
45	2329	48312
46	3486	70687
47	4501	89274
48	5332	103499
49	6533	124138
50	7034	130902
51	7917	144340
52	8305	148409
53	9347	163760
54	9860	169416
55	10101	170277
56	10888	180137
57	11359	184492
58	11643	185704
59	11824	185253
60	12084	186018
61	12372	187183
62	12634	187915
63	13464	196921
64	14479	208276
65	14856	210246
66	15020	209161
67	15785	216351
68	15866	214076
69	15882	211016
70	15897	208005
71	15909	205055
72	15920	202168
73	15931	199359
74	15944	196642
75	15950	193926
76	15970	191440
77	16612	196365
78	17228	200851
79	18240	209768
80	18958	215100
81	19509	218409
82	19675	217376
83	19741	215277
84	19807	213223
85	20051	213107
86	20148	211442
87	20216	209512
88	20225	207031
89	20233	204580
90	20240	202182
91	20245	199812
92	20249	197486
93	20254	195220
94	20260	193010
95	20266	190843
96	20273	188733
97	20280	186665
98	20287	184633
99	20294	182650
100	20300	180696
101	20306	178775
102	20312	176897
103	20319	175058
104	20324	173241
105	20330	171467
106	20337	169729
107	20342	168017
108	20349	166339
109	20354	164688
110	20360	163063
111	20365	161472
112	20370	159899
113	20376	158366
114	20382	156852
115	20388	155372
116	20393	153912
117	20398	152467
118	20403	151052
119	20409	149671
120	20415	148306
121	20421	146971
122	20428	145655
123	20435	144367
124	20442	143095
125	20448	141844
126	20454	140605
127	20459	139382
128	20465	138182
129	20470	136992
130	20475	135826
131	20482	134685
132	20488	133562
133	20495	132454
134	20500	131357
135	20507	130282
136	20511	129210
137	20517	128157
138	20521	127116
139	20527	126096
140	20535	125104
141	20542	124120
142	20548	123149
143	20555	122193
144	20560	121237
145	20567	120304
146	20573	119384
147	20578	118467
148	20584	117564
149	20588	116669
150	20642	116060
151	21177	118149
152	21245	117614
153	21255	116766
154	21263	115922
155	21271	115086
156	21279	114258
157	21288	113446
158	21296	112643
159	21304	111851
160	21313	111066
161	21320	110285
162	21328	109521
163	21336	108764
164	21345	108022
165	21353	107284
166	21362	106555
167	21368	105822
168	21374	105099
169	21380	104385
170	21385	103677
171	21388	102963
172	21391	102257
173	21395	101567
174	21402	100897
175	21409	100234
176	21415	99577
177	21422	98927
178	21425	98271
179	21431	97632
180	21437	97002
181	21444	96382
182	21450	95767
183	21458	95163
184	21465	94562
185	21470	93961
186	21473	93360
187	21478	92767
188	21483	92187
189	21489	91615
190	21496	91049
191	21500	90481
192	21504	89918
193	21508	89360
194	21514	88817
195	21521	88281
196	21525	87740
197	21530	87207
198	21533	86675
199	21536	86145
200	21538	85618
201	21540	85097
202	21543	84582
203	21546	84074
204	21550	83572
205	21553	83075
206	21555	82577
207	21557	82085
208	21560	81601
209	21564	81121
210	21567	80647
211	21571	80179
212	21576	79720
213	21579	79257
214	21582	78800
215	21585	78346
216	21589	77899
217	21592	77455
218	21595	77013
219	21597	76573
220	21600	76137
221	21602	75705
222	21605	75279
223	21608	74857
224	21610	74437
225	21616	74031
226	21621	73627
227	21627	73230
228	21632	72831
229	21637	72438
230	21644	72053
231	21648	71665
232	21651	71273
233	21653	70883
234	21656	70499
235	21659	70117
236	21662	69739
237	21666	69370
238	21670	69000
239	21672	68631
240	21676	68265
241	21680	67907
242	21682	67546
243	21686	67191
244	21689	66839
245	21693	66490
246	21698	66150
247	21702	65807
248	21705	65465
249	21709	65128
250	21714	64795
251	21718	64465
252	21720	64131
253	21724	63803
254	21730	63487
255	21736	63171
256	21742	62858
257	21746	62543
258	21753	62236
259	21759	61931
260	21766	61630
261	21773	61330
262	21779	61032
263	21786	60737
264	21793	60445
265	21799	60152
266	21806	59864
267	21823	59606
268	21937	59614
269	22202	60029
270	22212	59752
271	22220	59473
272	22228	59194
273	22236	58918
274	22244	58644
275	22251	58370
276	22258	58097
277	22265	57825
278	22272	57557
279	22280	57292
280	22287	57027
281	22295	56765
282	22302	56504
283	22308	56243
284	22316	55986
285	22323	55730
286	22330	55476
287	22336	55221
288	22343	54970
289	22348	54715
290	22353	54462
291	22358	54212
292	22366	53969
293	22372	53723
294	22378	53480
295	22384	53238
296	22390	52997
297	22395	52756
298	22399	52516
299	22407	52283
300	22413	52049
301	22419	51817
302	22424	51583
303	22430	51353
304	22436	51125
305	22441	50895
306	22445	50667
307	22450	50441
308	22455	50216
309	22461	49995
310	22467	49774
311	22472	49554
312	22479	49340
313	22486	49127
314	22492	48912
315	22499	48702
316	22504	48487
317	22509	48275
318	22514	48063
319	22519	47854
320	22524	47646
321	22578	47540
322	22931	48063
323	23469	48968
324	24259	50385
325	24742	51154
326	25322	52115
327	25551	52350
328	25826	52673
329	26276	53349
330	26540	53642
331	26559	53438
332	26572	53225
333	26583	53008
334	26595	52794
335	26606	52578
336	26624	52379
337	26810	52510
338	27571	53761
339	28397	55123
340	29314	56651
341	29801	57337
342	30191	57831
343	30214	57618
344	30692	58270
345	31003	58601
346	31253	58814
347	31413	58855
348	31837	59387
349	31956	59346
350	31969	59111
351	31988	58887
352	32005	58662
353	32572	59441
354	32590	59213
355	32692	59139
356	33089	59597
357	33401	59897
358	33657	60095
359	34080	60587
360	34320	60750
361	34673	61109
362	34934	61303
363	35249	61589
364	35948	62539
365	36249	62792
366	36643	63202
367	36812	63220
368	37740	64537
369	38188	65024
370	38541	65344
371	38670	65282
372	39445	66306
373	39642	66354
374	39940	66567
375	40276	66841
376	40756	67351
377	41058	67561
378	41257	67601
379	41653	67960
380	41991	68222
381	42271	68387
382	42623	68664
383	42813	68679
384	43041	68754
385	43247	68793
386	43381	68715
387	43558	68705
388	43782	68768
389	44095	68970
390	44484	69286
391	44526	69060
392	44534	68784
393	44543	68511
394	44549	68234
395	44556	67959
396	44614	67765
397	44659	67549
398	44700	67331
399	44712	67069
400	44750	66846
401	44805	66650
402	44824	66402
403	44830	66135
404	44836	65870
405	44843	65607
406	44849	65345
407	44855	65084
408	44861	64824
409	44867	64565
410	44873	64307
411	44879	64051
412	44886	63797
413	44889	63538
414	44892	63281
415	44894	63025
416	44897	62769
417	44900	62516
418	44903	62264
419	44907	62014
420	44910	61764
421	44913	61517
422	44916	61268
423	44918	61021
424	44921	60775
425	44924	60532
426	44928	60289
427	44931	60048
428	44933	59806
429	44936	59567
430	44939	59328
431	44942	59091
432	44945	58854
433	44948	58619
434	44951	58384
435	44953	58150
436	44955	57917
437	44958	57685
438	44960	57455
439	44963	57225
440	44966	56998
441	44969	56771
442	44973	56546
443	44976	56321
444	44980	56099
445	44983	55876
446	44986	55654
447	44989	55433
448	44991	55212
449	44994	54992
450	44997	54775
451	45000	54557
452	45003	54341
453	45005	54125
454	45009	53912
455	45011	53698
456	45015	53486
457	45018	53274
458	45022	53066
459	45026	52857
460	45029	52648
461	45031	52439
462	45037	52235
463	45040	52030
464	45043	51824
465	45046	51620
466	45049	51415
467	45054	51215
468	45059	51016
469	45064	50817
470	45070	50620
471	45074	50421
472	45078	50225
473	45083	50028
474	45087	49833
475	45092	49639
476	45096	49445
477	45098	49250
478	45104	49058
479	45107	48866
480	45108	48672
481	45113	48482
482	45116	48292
483	45119	48102
484	45123	47914
485	45127	47727
486	45129	47538
487	45132	47352
488	45136	47167
489	45139	46982
490	45143	46797
491	45145	46613
492	45149	46431
493	45152	46249
494	45154	46067
495	45157	45885
496	45159	45704
497	45162	45525
498	45165	45346
499	45169	45169
500	45171	44991
501	45175	44815
502	45179	44640
503	45183	44466
504	45187	44292
505	45189	44118
506	45192	43945
507	45198	43774
508	45203	43604
509	45206	43433
510	45210	43264
511	45215	43096
512	45219	42928
513	45225	42761
514	45230	42595
515	45235	42430
516	45240	42265
517	45246	42101
518	45250	41937
519	45256	41775
520	45261	41612
521	45267	41451
522	45272	41290
523	45277	41130
524	45283	40970
525	45287	40810
526	45293	40652
527	45298	40494
528	45305	40337
529	45309	40179
530	45313	40022
531	45318	39867
532	45324	39712
533	45331	39558
534	45337	39405
535	45343	39252
536	45350	39100
537	45356	38949
538	45362	38798
539	45369	38648
540	45374	38496
541	45379	38346
542	45384	38196
543	45389	38046
544	45394	37897
545	45400	37750
546	45406	37603
547	45413	37457
548	45418	37311
549	45425	37166
550	45431	37021
551	45438	36877
552	45443	36733
553	45448	36588
554	45454	36445
555	45460	36302
556	45465	36159
557	45469	36017
558	45474	35875
559	45480	35734
560	45485	35593
561	45490	35453
562	45496	35314
563	45501	35175
564	45507	35036
565	45512	34898
566	45518	34760
567	45523	34623
568	45529	34487
569	45536	34351
570	45542	34216
571	45552	34084
572	45559	33950
573	45565	33816
574	45571	33683
575	45577	33550
576	45584	33417
577	45590	33285
578	45597	33154
579	45603	33023
580	45610	32892
581	45617	32762
582	45624	32633
583	45630	32504
584	45637	32375
585	45642	32245
586	45648	32117
587	45654	31989
588	45660	31861
589	45667	31735
590	45674	31609
591	45681	31482
592	45687	31357
593	45692	31231
594	45698	31105
595	45705	30981
596	45711	30857
597	45718	30733
598	45723	30609
599	45730	30487
600	45738	30365
601	45745	30243
602	45751	30121
603	45758	30000
604	45773	29885
605	45834	29800
606	45845	29682
607	45891	29587
608	45939	29495
609	45958	29383
610	45982	29275
611	46010	29169
612	46016	29051
613	46023	28933
614	46029	28815
615	46036	28698
616	46045	28582
617	46053	28467
618	46063	28352
619	46070	28236
620	46073	28118
621	46075	28000
622	46078	27883
623	46080	27766
624	46083	27649
625	46086	27533
626	46089	27418
627	46092	27302
628	46094	27187
629	46097	27073
630	46101	26959
631	46103	26845
632	46106	26731
633	46109	26618
634	46111	26505
635	46114	26392
636	46117	26280
637	46121	26169
638	46123	26057
639	46126	25946
640	46130	25835
641	46132	25725
642	46135	25615
643	46139	25505
644	46143	25396
645	46146	25287
646	46150	25179
647	46154	25071
648	46156	24962
649	46158	24854
650	46160	24746
651	46164	24639
652	46166	24532
653	46171	24427
654	46173	24320
655	46177	24214
656	46180	24109
657	46183	24004
658	46186	23899
659	46189	23794
660	46191	23689
661	46193	23585
662	46197	23482
663	46200	23378
664	46203	23275
665	46206	23172
666	46209	23069
667	46214	22968
668	46217	22866
669	46220	22765
670	46223	22663
671	46225	22562
672	46228	22461
673	46232	22361
674	46234	22261
675	46237	22161
676	46241	22062
677	46245	21963
678	46248	21863
679	46251	21765
680	46254	21666
681	46256	21568
682	46258	21470
683	46261	21372
684	46264	21274
685	46268	21178
686	46271	21081
687	46273	20984
688	46276	20888
689	46279	20792
690	46282	20696
691	46285	20601
692	46289	20506
693	46292	20411
694	46296	20317
695	46300	20222
696	46302	20128
697	46306	20035
698	46308	19941
699	46311	19847
700	46314	19754
701	46317	19661
702	46320	19569
703	46324	19477
704	46327	19385
705	46329	19293
706	46334	19202
707	46337	19110
708	46340	19019
709	46343	18928
710	46347	18838
711	46349	18748
712	46353	18658
713	46355	18568
714	46358	18478
715	46361	18389
716	46364	18299
717	46365	18210
718	46368	18121
719	46372	18033
720	46376	17945
721	46379	17857
722	46381	17769
723	46384	17682
724	46387	17595
725	46391	17508
726	46393	17421
727	46395	17334
728	46399	17248
729	46402	17162
730	46406	17077
731	46409	16991
732	46412	16906
733	46415	16820
734	46417	16735
735	46421	16651
736	46424	16566
737	46427	16482
738	46429	16398
739	46433	16314
740	46435	16230
741	46440	16147
742	46443	16064
743	46447	15981
744	46451	15899
745	46454	15816
746	46457	15734
747	46460	15652
748	46462	15570
749	46464	15488
750	46468	15406
751	46472	15325
752	46474	15244
753	46476	15163
754	46479	15082
755	46482	15002
756	46485	14921
757	46488	14841
758	46491	14762
759	46493	14682
760	46497	14602
761	46499	14523
762	46503	14444
763	46506	14365
764	46510	14287
765	46513	14209
766	46517	14131
767	46524	14054
768	46530	13977
769	46534	13899
770	46538	13822
771	46541	13745
772	46544	13668
773	46548	13591
774	46550	13514
775	46554	13438
776	46557	13362
777	46559	13285
778	46563	13210
779	46567	13134
780	46569	13058
781	46572	12983
782	46577	12908
783	46581	12833
784	46587	12759
785	46593	12685
786	46597	12611
787	46600	12537
788	46604	12463
789	46608	12389
790	46611	12315
791	46616	12242
792	46619	12169
793	46623	12096
794	46628	12023
795	46632	11951
796	46637	11878
797	46640	11806
798	46643	11733
799	46646	11661
800	46648	11589
801	46651	11517
802	46654	11445
803	46657	11374
804	46661	11303
805	46664	11232
806	46668	11161
807	46670	11090
808	46673	11019
809	46677	10949
810	46680	10878
811	46684	10808
812	46687	10738
813	46691	10669
814	46695	10599
815	46698	10530
816	46701	10460
817	46704	10391
818	46707	10322
819	46711	10253
820	46714	10185
821	46717	10116
822	46721	10048
823	46723	9979
824	46727	9911
825	46730	9843
826	46732	9775
827	46736	9708
828	46740	9641
829	46743	9574
830	46746	9506
831	46748	9439
832	46751	9372
833	46754	9306
834	46757	9239
835	46760	9173
836	46763	9106
837	46766	9040
838	46769	8974
839	46773	8909
840	46775	8843
841	46779	8778
842	46783	8712
843	46786	8647
844	46790	8582
845	46793	8517
846	46795	8453
847	46798	8388
848	46801	8323
849	46804	8259
850	46806	8195
851	46810	8131
852	46814	8067
853	46817	8003
854	46820	7940
855	46822	7876
856	46827	7813
857	46829	7750
858	46832	7687
859	46835	7624
860	46838	7561
861	46842	7499
862	46845	7436
863	46849	7374
864	46852	7312
865	46855	7250
866	46858	7188
867	46861	7126
868	46865	7064
869	46867	7003
870	46870	6941
871	46873	6880
872	46875	6819
873	46877	6758
874	46879	6697
875	46883	6636
876	46886	6575
877	46889	6515
878	46893	6455
879	46895	6394
880	46897	6334
881	46899	6274
882	46902	6214
883	46905	6155
884	46908	6095
885	46911	6035
886	46913	5976
887	46916	5917
888	46918	5858
889	46921	5799
890	46925	5740
891	46927	5681
892	46930	5623
893	46933	5564
894	46936	5506
895	46939	5448
896	46942	5390
897	46945	5332
898	46948	5274
899	46951	5216
900	46954	5159
901	46958	5101
902	46962	5044
903	46965	4987
904	46968	4930
905	46971	4873
906	46975	4816
907	46978	4759
908	46981	4703
909	46984	4646
910	46988	4590
911	46992	4534
912	46995	4478
913	46999	4422
914	47002	4366
915	47005	4310
916	47008	4254
917	47012	4199
918	47018	4144
919	47025	4089
920	47031	4034
921	47034	3979
922	47039	3924
923	47042	3869
924	47048	3814
925	47051	3760
926	47056	3705
927	47060	3651
928	47064	3596
929	47067	3542
930	47071	3488
931	47075	3434
932	47079	3380
933	47083	3327
934	47087	3273
935	47090	3219
936	47092	3166
937	47095	3112
938	47100	3059
939	47102	3006
940	47105	2953
941	47108	2900
942	47111	2847
943	47114	2794
944	47117	2742
945	47119	2689
946	47122	2637
947	47124	2584
948	47126	2532
949	47129	2480
950	47133	2428
951	47136	2376
952	47140	2324
953	47144	2273
954	47147	2221
955	47149	2170
956	47152	2118
957	47154	2067
958	47156	2016
959	47159	1964
960	47162	1913
961	47165	1863
962	47168	1812
963	47172	1761
964	47175	1711
965	47177	1660
966	47181	1610
967	47184	1559
968	47186	1509
969	47190	1459
970	47193	1409
971	47196	1359
972	47199	1309
973	47201	1259
974	47204	1210
975	47206	1160
976	47210	1111
977	47214	1062
978	47216	1012
979	47218	963
980	47221	914
981	47224	865
982	47227	816
983	47230	767
984	47235	719
985	47239	670
986	47241	622
987	47244	573
988	47248	525
989	47250	477
990	47252	429
991	47255	381
992	47259	333
993	47262	285
994	47264	237
995	47268	189
996	47272	142
997	47274	94
998	47277	47
999	47281	0
