iter	Logloss	F1
0	0.6774872794	0.7786451073
1	0.6625386664	0.7929927788
2	0.6500294468	0.787066464
3	0.6377670047	0.7909802863
4	0.6272320563	0.7893508989
5	0.6175433612	0.7964720032
6	0.6069147318	0.797486967
7	0.5972445498	0.7985534423
8	0.5899983789	0.7982326951
9	0.5825228688	0.7993014508
10	0.5762269307	0.8004833512
11	0.56982901	0.8017811361
12	0.5629705759	0.8002154012
13	0.5572678656	0.7988668555
14	0.5512186531	0.7990249187
15	0.5460078896	0.8030221263
16	0.5423633144	0.8023822415
17	0.5384169561	0.803030303
18	0.5336568287	0.801840823
19	0.530708004	0.8050128015
20	0.5257029024	0.8041543027
21	0.5218857664	0.8028073964
22	0.5182594373	0.8043214045
23	0.5158646926	0.8046379938
24	0.5129717536	0.8053347703
25	0.5098443836	0.8049803762
26	0.5067031133	0.8064952639
27	0.5044148521	0.8077548807
28	0.5019296601	0.8087239231
29	0.4997611817	0.8087239231
30	0.4975335671	0.8093754234
31	0.4952529469	0.8098792238
32	0.4919958747	0.8093364093
33	0.4902220292	0.8094462541
34	0.4883029185	0.809071157
35	0.4861859808	0.8087935948
36	0.4847659384	0.80917481
37	0.483362556	0.8095044128
38	0.4815923368	0.8098209441
39	0.4798328892	0.8098276096
40	0.4781678652	0.8108548168
41	0.4765699249	0.8108695652
42	0.475554192	0.8084817181
43	0.4739507974	0.8105906314
44	0.4721298073	0.8098543623
45	0.4702603978	0.8120157673
46	0.4687668227	0.8093289689
47	0.4673147636	0.8109581573
48	0.4656842949	0.8106928532
49	0.4646809591	0.8103754266
50	0.4630887893	0.8129770992
51	0.4618272094	0.8134206219
52	0.4605015581	0.8127218127
53	0.4593013368	0.8127218127
54	0.458176664	0.8129260976
55	0.4573022128	0.8132078046
56	0.4562966942	0.8146228345
57	0.4550133154	0.8139757063
58	0.4538401803	0.8132768747
59	0.4523161775	0.8142486693
60	0.4513401384	0.8147845063
61	0.450370839	0.8151077175
62	0.4493528645	0.8142389525
63	0.4482217948	0.8155922039
