iter	Logloss	F1
0	0.6766706593	0.7938870432
1	0.6609530371	0.8001625796
2	0.6472167219	0.8132538105
3	0.6346331422	0.8047701997
4	0.6227886954	0.8062474754
5	0.6124960059	0.8100348806
6	0.6035374598	0.8078368223
7	0.5942001122	0.8108905579
8	0.5858446353	0.8089947798
9	0.5780380818	0.807285389
10	0.5706165403	0.8093147039
11	0.5628486795	0.8094412588
12	0.5554960933	0.8114392623
13	0.5487730395	0.8100858369
14	0.5431352284	0.8094276094
15	0.5375801087	0.8116489147
16	0.5327504172	0.8160129397
17	0.5289401905	0.8151633284
18	0.5246046197	0.8175965665
19	0.5217385006	0.8173051165
20	0.5180695564	0.8166823119
21	0.5136842104	0.8146052277
22	0.5104538197	0.8138154344
23	0.5079904166	0.8125084243
24	0.5049141133	0.8133531558
25	0.5018790566	0.8122211707
26	0.4987574679	0.8132937044
27	0.4963609708	0.8137744767
28	0.4935439468	0.8153451304
29	0.4914876595	0.8156756757
30	0.4891462894	0.8158961882
31	0.486599314	0.8170005414
32	0.4836020975	0.8165038002
33	0.4809440976	0.8153385912
34	0.4791140796	0.8183795541
35	0.4768279865	0.8182311449
36	0.4757330232	0.8183421517
37	0.4740076367	0.8198186002
38	0.4722719583	0.8200406229
39	0.4705590338	0.8186753529
40	0.469194523	0.8198808234
41	0.467697619	0.8207214538
42	0.466654312	0.8205615082
43	0.465310508	0.8232904536
44	0.4637278802	0.8242129442
45	0.4620431545	0.8237196765
46	0.4602392834	0.8223995672
47	0.458749772	0.8219810041
48	0.4574564585	0.8211470508
49	0.4565639217	0.8210984231
50	0.4548097404	0.8224578575
51	0.453323147	0.8230508475
52	0.4523739963	0.8222192041
53	0.4512311028	0.8233378562
54	0.4500129075	0.8253281017
55	0.4487871836	0.8238166282
56	0.4477663467	0.823401656
57	0.4468661875	0.8236570808
58	0.4455646359	0.822826087
59	0.4443195371	0.8256507592
60	0.4432641612	0.826446281
61	0.4423600863	0.8273244782
62	0.4410921108	0.8289117488
63	0.4400361265	0.8277356446
64	0.4388103348	0.8300459335
65	0.4381049208	0.8301121773
66	0.4369804299	0.8309191823
67	0.4362012784	0.8295392954
68	0.4353609318	0.8311442112
69	0.4344408929	0.8306691953
70	0.4332527124	0.8298766436
71	0.4323423659	0.8310069115
72	0.4316958892	0.8308943089
73	0.430949111	0.8316858497
74	0.4304346656	0.8321148118
75	0.4298031316	0.8315276273
76	0.4292743961	0.8324983074
77	0.4282707739	0.8334010015
78	0.4276194876	0.8337395072
79	0.4266796115	0.8335138062
80	0.4258201574	0.8336494175
81	0.4250674487	0.834078288
82	0.4244842305	0.8346648612
83	0.42356006	0.8355663825
84	0.4227674233	0.8364669282
85	0.421969573	0.8364669282
86	0.4213179835	0.8357926086
87	0.4204903619	0.8365800866
88	0.4195763122	0.8366932756
89	0.4188056701	0.8365800866
90	0.4180601103	0.8359501895
91	0.4173741059	0.8379948656
92	0.4168981488	0.8377939984
93	0.4161825698	0.8380205516
94	0.4156991501	0.8384220481
95	0.4147737887	0.839276067
96	0.4140562863	0.8397297297
97	0.4133733872	0.8388753717
98	0.4128482657	0.8390758006
99	0.4120526322	0.8406697272
100	0.411390279	0.8404269693
101	0.4105817172	0.8407677751
102	0.4098391786	0.8411088573
103	0.40919129	0.8406385281
104	0.4086092123	0.8409798349
105	0.4079026527	0.8426601784
106	0.407104282	0.8434288805
107	0.4062650031	0.8422477996
108	0.4056781228	0.8439275088
109	0.4051112469	0.8451351351
110	0.4043273564	0.8463408048
111	0.4035748394	0.8465694219
112	0.4029498442	0.8466837768
113	0.4022221547	0.8469539376
114	0.4016539185	0.8472972973
115	0.4011154067	0.8472972973
116	0.4006028172	0.8472972973
117	0.3999407405	0.8471828131
118	0.3991167614	0.8495073559
119	0.3985342402	0.8490005402
120	0.3980372166	0.8486158001
121	0.397466695	0.8488450628
122	0.3969994626	0.8491891892
123	0.3967108372	0.8491891892
124	0.3964033321	0.8487963213
125	0.39582692	0.8507765024
126	0.3953417157	0.8510063488
127	0.3946857781	0.8504319654
128	0.3941523648	0.8503171818
129	0.3931221331	0.851511879
130	0.3925205038	0.8510063488
131	0.3920625791	0.85089141
132	0.3916412769	0.8505467801
133	0.3910859226	0.8502702703
134	0.3905934666	0.8505001352
135	0.3902640397	0.8514316586
136	0.3898346732	0.85255632
137	0.3892503302	0.8529014845
138	0.3889818544	0.8530166014
139	0.3886630624	0.8532469286
140	0.3882630774	0.8533621388
141	0.3878551445	0.8534773801
142	0.3873793864	0.8532469286
143	0.3868902055	0.8535926526
144	0.3863069709	0.8542116631
145	0.3858129438	0.8532469286
146	0.3852045111	0.8549453515
147	0.3847244262	0.8554070474
148	0.3844006513	0.8561403509
149	0.3839560728	0.8562938952
150	0.3836105646	0.8567957889
151	0.3831205898	0.8571428571
152	0.3826490216	0.8571428571
153	0.3821507612	0.8565252634
154	0.3817669404	0.8562162162
155	0.381296929	0.8565634717
156	0.3809217327	0.8565634717
157	0.3804067096	0.8567951318
158	0.3800164874	0.8561764308
159	0.3794828993	0.8562922869
160	0.3791292387	0.8566400433
161	0.3788356136	0.8567560249
162	0.3785622608	0.8568720379
163	0.3782959687	0.8578391552
164	0.3779428992	0.8578391552
165	0.3776649673	0.8576459434
166	0.377176942	0.8583039827
167	0.3768690898	0.8581483487
168	0.3765840592	0.8583039827
169	0.3759543515	0.8584202683
170	0.3755312407	0.8584586212
171	0.3750382359	0.8586912343
172	0.3745800641	0.8591568388
173	0.3739655154	0.8589239734
174	0.3735643679	0.8595421915
175	0.3731820957	0.8606257619
176	0.372848191	0.8598915989
177	0.3724135397	0.861630111
178	0.3719316097	0.8619382783
179	0.3716194857	0.8629043172
180	0.3712397516	0.8619382783
181	0.3707452578	0.8617798215
182	0.3702591425	0.8622462788
183	0.3698853592	0.8622462788
184	0.3691389724	0.8629043172
185	0.3686719936	0.863482614
186	0.368368947	0.8644411407
187	0.3679795983	0.865215628
188	0.3677298892	0.8645213629
189	0.3673888125	0.8646382691
190	0.3669688694	0.8648721764
191	0.366882839	0.8648721764
192	0.3660243536	0.8649891775
193	0.3654882938	0.8660267676
194	0.3653409601	0.8662609872
195	0.364785187	0.8658817161
196	0.3643183715	0.8664953334
197	0.3639439321	0.8662609872
198	0.3636157141	0.8671082871
199	0.3629939002	0.8668470907
200	0.3625459648	0.8676132522
201	0.3619943164	0.8671177267
202	0.3616439835	0.8682002706
203	0.3611949445	0.8682002706
204	0.3607240775	0.8696122146
205	0.3604557544	0.8697297297
206	0.3600432946	0.8699648554
207	0.3595946257	0.8704354882
208	0.3593282019	0.8703177823
209	0.3589977209	0.871316572
210	0.3584602517	0.872009731
211	0.3584114159	0.872009731
212	0.3580623647	0.8717394242
213	0.3577388166	0.8717394242
214	0.3575091654	0.8724324324
215	0.3570637041	0.8719751251
216	0.3566139694	0.8729042726
217	0.3562273252	0.8730223124
218	0.3558417649	0.8735135135
219	0.3554250413	0.8729042726
220	0.3549781068	0.8736315718
221	0.3546293965	0.8739018786
222	0.3544052191	0.8739018786
223	0.3542246908	0.8737837838
224	0.3539557773	0.8740200054
225	0.353448097	0.8743582815
