iter	Passed	Remaining
0	3	3452
1	5	2973
2	7	2622
3	9	2423
4	12	2468
5	14	2475
6	17	2527
7	22	2784
8	24	2721
9	27	2689
10	30	2724
11	32	2705
12	36	2736
13	38	2730
14	42	2778
15	47	2939
16	50	2941
17	53	2907
18	56	2934
19	60	2942
20	62	2927
21	66	2954
22	69	2955
23	71	2926
24	74	2914
25	78	2943
26	81	2927
27	84	2946
28	87	2936
29	91	2966
30	94	2969
31	98	2976
32	101	2968
33	103	2940
34	106	2943
35	109	2919
36	113	2961
37	116	2951
38	119	2935
39	121	2927
40	124	2921
41	127	2914
42	130	2913
43	133	2907
44	137	2920
45	141	2936
46	145	2948
47	149	2955
48	153	2969
49	157	2983
50	159	2961
51	162	2968
52	164	2946
53	168	2948
54	171	2955
55	174	2948
56	178	2945
57	181	2946
58	185	2963
59	188	2954
60	192	2967
61	196	2966
62	198	2945
63	201	2943
64	203	2925
65	206	2927
66	210	2928
67	212	2916
68	215	2906
69	220	2927
70	227	2970
71	233	3013
72	237	3020
73	242	3035
74	246	3042
75	249	3034
76	251	3017
77	254	3007
78	257	2999
79	261	3003
80	264	3001
81	267	2994
82	270	2989
83	272	2976
84	276	2981
85	280	2980
86	282	2966
87	284	2952
88	289	2965
89	292	2961
90	297	2967
91	299	2952
92	302	2950
93	304	2939
94	307	2927
95	310	2921
96	313	2918
97	316	2917
98	320	2919
99	323	2907
100	325	2897
101	329	2898
102	331	2891
103	335	2888
104	338	2885
105	341	2882
106	345	2881
107	348	2877
108	352	2877
109	354	2871
110	359	2876
111	363	2880
112	366	2874
113	369	2868
114	372	2864
115	375	2860
116	378	2855
117	383	2867
118	386	2860
119	388	2852
120	393	2859
121	396	2852
122	399	2848
123	401	2837
124	404	2832
125	407	2828
126	411	2830
127	414	2823
128	417	2818
129	420	2814
130	422	2804
131	425	2794
132	428	2792
133	430	2782
134	432	2772
135	436	2771
136	438	2765
137	442	2763
138	445	2758
139	447	2749
140	451	2747
141	453	2742
142	455	2732
143	459	2732
144	461	2723
145	465	2722
146	468	2717
147	471	2716
148	475	2716
149	477	2706
150	480	2700
151	484	2705
152	487	2698
153	490	2696
154	493	2691
155	496	2685
156	500	2686
157	503	2684
158	507	2682
159	509	2676
160	512	2670
161	515	2665
162	517	2658
163	521	2656
164	523	2651
165	525	2642
166	528	2638
167	531	2632
168	535	2634
169	541	2641
170	544	2639
171	547	2635
172	549	2628
173	553	2625
174	556	2624
175	558	2617
176	562	2615
177	566	2614
178	569	2611
179	571	2605
180	574	2600
181	578	2598
182	581	2593
183	584	2593
184	588	2591
185	591	2589
186	594	2583
187	596	2576
188	598	2568
189	600	2560
190	602	2553
191	606	2550
192	608	2544
193	613	2546
194	616	2544
195	618	2538
196	622	2538
197	626	2537
198	629	2532
199	632	2529
200	634	2523
201	638	2521
202	640	2516
203	642	2508
204	646	2505
205	648	2499
206	651	2495
207	654	2490
208	657	2488
209	660	2485
210	663	2482
211	665	2472
212	667	2466
213	670	2462
214	672	2456
215	675	2452
216	678	2448
217	681	2446
218	684	2439
219	686	2435
220	689	2431
221	692	2426
222	696	2425
223	699	2423
224	702	2420
225	706	2419
226	709	2416
227	714	2420
228	721	2427
229	727	2435
230	733	2441
231	737	2443
232	742	2445
233	745	2439
234	748	2436
235	751	2433
236	755	2433
237	759	2431
238	762	2427
239	766	2427
240	769	2423
241	772	2419
242	776	2417
243	779	2415
244	783	2413
245	787	2412
246	790	2410
247	793	2406
248	797	2405
249	801	2405
250	805	2403
251	808	2399
252	811	2394
253	814	2391
254	816	2386
255	819	2383
256	822	2378
257	825	2373
258	828	2370
259	832	2370
260	837	2370
261	839	2365
262	843	2362
263	844	2355
264	848	2354
265	852	2351
266	854	2346
267	858	2344
268	862	2342
269	864	2336
270	869	2338
271	871	2333
272	875	2332
273	880	2332
274	884	2332
275	889	2332
276	892	2329
277	894	2324
278	897	2320
279	900	2316
280	904	2313
281	907	2311
282	911	2308
283	913	2304
284	916	2300
285	919	2296
286	922	2291
287	926	2289
288	929	2286
289	932	2282
290	935	2278
291	939	2277
292	945	2282
293	951	2284
294	957	2289
295	964	2293
296	967	2290
297	972	2290
298	975	2286
299	978	2283
300	982	2282
301	986	2280
302	988	2273
303	991	2270
304	994	2266
305	998	2263
306	1001	2261
307	1004	2257
308	1007	2253
309	1010	2249
310	1013	2244
311	1017	2243
312	1020	2240
313	1023	2236
314	1027	2233
315	1030	2230
316	1035	2230
317	1039	2228
318	1043	2227
319	1046	2223
320	1050	2222
321	1053	2218
322	1057	2216
323	1059	2210
324	1062	2206
325	1065	2203
326	1068	2198
327	1071	2196
328	1076	2195
329	1081	2195
330	1085	2193
331	1088	2190
332	1091	2185
333	1093	2181
334	1097	2179
335	1100	2174
336	1104	2172
337	1108	2170
338	1112	2170
339	1115	2165
340	1119	2163
341	1122	2159
342	1125	2156
343	1128	2152
344	1131	2148
345	1136	2147
346	1138	2143
347	1141	2139
348	1145	2136
349	1149	2133
350	1152	2130
351	1155	2127
352	1158	2124
353	1161	2119
354	1164	2115
355	1166	2111
356	1173	2112
357	1179	2115
358	1342	2397
359	1375	2445
360	1387	2455
361	1400	2468
362	1403	2462
363	1406	2457
364	1409	2452
365	1412	2446
366	1414	2440
367	1417	2434
368	1420	2428
369	1422	2422
370	1426	2418
371	1429	2413
372	1433	2409
373	1436	2404
374	1438	2398
375	1442	2394
376	1446	2390
377	1449	2385
378	1452	2380
379	1455	2375
380	1459	2371
381	1462	2366
382	1465	2360
383	1467	2354
384	1470	2349
385	1473	2344
386	1478	2342
387	1481	2336
388	1484	2332
389	1487	2326
390	1490	2321
391	1493	2316
392	1496	2311
393	1498	2304
394	1501	2300
395	1505	2295
396	1507	2289
397	1510	2284
398	1513	2279
399	1517	2275
400	1519	2269
401	1523	2265
402	1526	2261
403	1529	2256
